title,dt_from,dt_to,location,url,desc,snapshot_dt
SWEETS & BAKES ASIA 2016,2016-03-03 00:00:00.000000,2016-03-04 00:00:00.000000,Singapore,https://gems.gevme.com/sweets-bakes-asia-2016,,2019-03-24 12:15:06.915008
FURNIPRO 2016,2016-03-10 00:00:00.000000,2016-03-11 00:00:00.000000,Singapore,https://gems.gevme.com/furnipro-2016,"Going into its third edition, furniPRO Asia continues to play a strategic role for exhibitors in the woodworking and furniture production industry by facilitating their development and outreach into highly dynamic ASEAN region. Riding it on the wave, furniPRO Asia has now changed its dates to 10 – 12 March 2016 which will be held in-conjunction wi...",2019-03-24 12:15:06.915008
INTERNATIONAL FURNITURE FAIR SINGAPORE (IFFS),2016-03-10 00:00:00.000000,2016-03-12 00:00:00.000000,Singapore,https://gems.gevme.com/international-furniture-fair-singapore-iffs,,2019-03-24 12:15:06.915008
ASIA PACIFIC MARITIME (APM) 2016,2016-03-16 00:00:00.000000,2016-03-17 00:00:00.000000,Singapore,https://gems.gevme.com/asia-pacific-maritime-apm-2016,,2019-03-24 12:15:06.915008
IDEM SINGAPORE 2016,2016-04-08 00:00:00.000000,2016-04-09 00:00:00.000000,Singapore,https://gems.gevme.com/idem-singapore-2016,,2019-03-24 12:15:06.915008
PROWINE ASIA 2016,2016-04-12 00:00:00.000000,2016-04-14 00:00:00.000000,"Singapore, Singapore",https://gems.gevme.com/prowine-asia-2016,"ProWine Asia 2016 will bring together the best practices, credibility and recognition from Wine & Spirits Asia - Asia’s international trade exhibition for wines and spirits, and ProWein - World’s leading international trade fair for wines and spirits. ProWine Asia 2016, the largest trade fair of its kind in Asia, will feature a wide congregation o...",2019-03-24 12:15:06.915008
CHILDREN BABY MATERNITY EXPO,2016-04-13 00:00:00.000000,2016-04-14 00:00:00.000000,Singapore,https://gems.gevme.com/children-baby-maternity-expo,"CBME is a leading event in the world in products for Children, Babies and Maternity industry. Organised by UBM, it is expanding its scope and gaining foothold across the world. In line with the growth in the South East Asia and Australasia’s GDP Purchasing Power Parity among the top six markets in this region namely Indonesia, Malaysia, Philippine...",2019-03-24 12:15:06.915008
CARDS AND PAYMENT ASIA 2016,2016-04-20 00:00:00.000000,2016-04-20 00:00:00.000000,Singapore,https://gems.gevme.com/cards-and-payment-asia-2016,,2019-03-24 12:15:06.915008
SMART-FACILITIES MANAGEMENT SOLUTION EXPO 2016,2016-04-26 00:00:00.000000,2016-04-27 00:00:00.000000,Singapore,https://gems.gevme.com/smart-facilities-management-solution-expo-2016,"Back in its third year, SMART Facilities Management Solutions is the region’s most comprehensive trade event servicing the facilities management industry. SMART FMSE 2016 provides an arena for suppliers, end users and professionals to network, exchange knowledge, share best practices and stay updated on the latest industry needs for future readine...",2019-03-24 12:15:06.915008
NXT@COMMUNICASIA 2016,2016-05-31 00:00:00.000000,2016-06-02 00:00:00.000000,Singapore,https://gems.gevme.com/nxt-communicasia-2016,,2019-03-24 12:15:06.915008
COMMUNICASIA 2016,2016-05-31 00:00:00.000000,2016-06-02 00:00:00.000000,Singapore,https://gems.gevme.com/communicasia-2016,,2019-03-24 12:15:06.915008
ENTERPRISEIT 2016,2016-05-31 00:00:00.000000,2016-06-02 00:00:00.000000,Singapore,https://gems.gevme.com/enterpriseit-2016,,2019-03-24 12:15:06.915008
PRINTPACK+SIGN 2016,2016-06-29 00:00:00.000000,2016-06-30 00:00:00.000000,Singapore,https://gems.gevme.com/printpack-sign-2016,"PP+S is the only event in Singapore that brings together all businesses to find solutions for their printing, packaging and signage needs. Bringing together the best in the printing, packaging and signage industries, PP+S a must attend for anyone from the region involved in the sector!. Complimentary information on floor seminars is one of the sho...",2019-03-24 12:15:06.915008
SINGAPORE GIFTS SHOW 2016,2016-06-29 00:00:00.000000,2016-06-30 00:00:00.000000,Singapore,https://gems.gevme.com/singapore-gifts-show-2016,,2019-03-24 12:15:06.915008
SINGAPORE GIFTS & PREMIUMS FAIR 2016,2016-06-29 00:00:00.000000,2016-06-30 00:00:00.000000,Singapore,https://gems.gevme.com/singapore-gifts-premiums-fair-2016,,2019-03-24 12:15:06.915008
OFFICE EXPO ASIA 2016,2016-06-29 00:00:00.000000,2016-06-30 00:00:00.000000,Singapore,https://gems.gevme.com/office-expo-asia-2016,"Allow participating companies to increase their dales and business leads from the region.This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
CITIES SOLUTIONS SINGAPORE EXPO,2016-07-10 00:00:00.000000,2016-07-13 00:00:00.000000,Singapore,https://gems.gevme.com/cities-solutions-singapore-expo,"Gain opportunity to address future challenges for a liveable & sustainable environment in this global forum. Share experiences, best practices & discuss innovative & practical environmental solutions for Asia cities. Engage with practitioners in the marketplace on best practices, latest environmental technologies & services.This event is supported...",2019-03-24 12:15:06.915008
SINGAPORE INTERNATIONAL WATER WEEK 2016,2016-07-10 00:00:00.000000,2016-07-12 00:00:00.000000,Singapore,https://gems.gevme.com/singapore-international-water-week-2016,"This event is supported under International Marketing Activities Programme (iMAP). For more details of the event, please contact the organiser",2019-03-24 12:15:06.915008
